,snr,ch,packet,nn_loss,bl_loss
6530,24.0,B,6530,0.53803,0.00318
9683,20.0,D,9683,0.86824,0.01414
6653,16.0,A,6653,1.02707,0.0132
236,28.0,B,236,0.0613,0.00108
1191,16.0,D,1191,0.33808,0.01508
3265,12.0,F,3265,0.98194,0.07847
3137,16.0,C,3137,1.16547,0.02268
9245,40.0,C,9245,0.78398,0.00286
5264,16.0,E,5264,0.57763,0.02358
6516,20.0,C,6516,0.60722,0.00699
2705,20.0,F,2705,1.05158,0.02919
9368,16.0,F,9368,0.82287,0.04828
4417,36.0,C,4417,0.71329,0.00437
1879,16.0,B,1879,0.61106,0.01209
9304,36.0,C,9304,0.5816,0.00365
1078,20.0,B,1078,0.39783,0.0062
5129,24.0,B,5129,0.067,0.00226
1157,28.0,E,1157,0.95472,0.01073
7946,28.0,D,7946,0.42346,0.00631
3025,32.0,B,3025,0.92331,0.0024
1729,32.0,B,1729,0.11799,0.00106
9829,36.0,F,9829,0.62189,0.03199
5361,28.0,A,5361,0.93949,0.00074
187,28.0,A,187,1.30485,0.00091
238,24.0,E,238,0.81095,0.02558
6465,28.0,A,6465,0.60496,0.00087
6938,28.0,A,6938,1.72022,0.00119
4638,16.0,C,4638,0.28653,0.01557
623,36.0,B,623,0.80802,0.00468
944,36.0,D,944,0.56806,0.00937
817,16.0,C,817,1.47326,0.01563
8636,40.0,C,8636,1.19966,0.00519
2621,12.0,C,2621,0.32412,0.03714
2371,40.0,B,2371,0.63426,0.00271
5767,20.0,C,5767,0.13507,0.00572
8243,28.0,A,8243,0.94532,0.00077
9000,28.0,F,9000,0.77635,0.03956
2391,40.0,B,2391,0.55782,0.00237
9448,28.0,E,9448,0.44164,0.01637
9435,32.0,B,9435,1.02442,0.00203
8231,36.0,A,8231,0.33315,0.00014
4940,28.0,A,4940,0.10275,0.00075
4463,28.0,B,4463,0.38711,0.0025
2206,12.0,A,2206,0.72805,0.03034
5589,12.0,D,5589,0.88804,0.04626
5520,24.0,A,5520,0.36286,0.00206
2267,12.0,F,2267,0.66899,0.07427
4116,16.0,D,4116,2.54452,0.02525
7246,12.0,B,7246,0.95828,0.03674
9248,40.0,E,9248,0.36351,0.00923
1238,20.0,B,1238,1.05181,0.00796
5345,40.0,B,5345,0.34512,0.00099
627,24.0,E,627,0.49912,0.0128
2461,24.0,B,2461,0.97917,0.0048
9877,32.0,D,9877,1.62952,0.00419
7008,36.0,F,7008,1.64881,0.05919
6746,24.0,C,6746,0.56698,0.00474
1435,24.0,F,1435,0.32964,0.02206
2445,16.0,F,2445,0.81541,0.07734
4069,24.0,B,4069,0.50981,0.00319
1272,32.0,E,1272,0.6047,0.01481
2245,24.0,C,2245,0.3681,0.00423
3876,16.0,E,3876,0.44117,0.02268
5235,32.0,E,5235,0.24989,0.01313
747,28.0,F,747,0.89714,0.02605
9440,40.0,F,9440,0.64161,0.03388
7330,24.0,D,7330,0.47528,0.00932
2747,40.0,C,2747,0.5057,0.00268
8755,36.0,B,8755,0.52643,0.00179
3416,32.0,E,3416,0.51272,0.01814
2014,28.0,D,2014,0.43386,0.00472
9914,36.0,D,9914,1.7035,0.00596
3021,12.0,C,3021,0.99824,0.04105
4099,24.0,C,4099,0.60321,0.00577
2713,24.0,C,2713,0.45598,0.00474
3397,12.0,C,3397,1.00353,0.04341
9031,36.0,C,9031,0.15106,0.00166
3114,24.0,D,3114,0.64778,0.00666
9633,40.0,B,9633,0.74582,0.00466
7356,32.0,A,7356,0.06713,0.00034
6842,36.0,A,6842,0.40656,0.00013
4149,28.0,A,4149,0.62678,0.00072
4428,40.0,A,4428,0.32779,6e-05
397,40.0,B,397,0.1645,0.00077
2376,12.0,A,2376,1.21305,0.02864
4607,20.0,F,4607,0.87292,0.05396
4409,40.0,C,4409,0.39995,0.00472
1255,12.0,E,1255,0.50342,0.04821
2523,16.0,E,2523,0.6088,0.02562
4505,12.0,C,4505,0.32598,0.02981
781,28.0,F,781,0.39182,0.02567
8358,40.0,B,8358,0.09107,0.00026
6455,36.0,C,6455,0.74813,0.00299
1450,20.0,B,1450,1.56216,0.00991
8168,40.0,F,8168,0.36842,0.01751
1847,40.0,D,1847,1.39072,0.00608
3221,12.0,E,3221,0.93745,0.04905
3982,36.0,A,3982,1.43843,0.00014
360,40.0,B,360,0.22045,0.00068
1969,12.0,F,1969,0.52977,0.05453
5888,32.0,B,5888,0.61957,0.00057
7445,36.0,E,7445,0.66462,0.01352
843,16.0,A,843,1.62591,0.01417
1357,12.0,A,1357,0.58496,0.03496
2972,28.0,B,2972,0.13295,0.00101
1602,24.0,B,1602,0.33777,0.00257
6615,36.0,A,6615,0.30688,0.00015
5775,36.0,D,5775,0.47916,0.00366
4788,28.0,D,4788,0.29128,0.00454
4525,24.0,D,4525,1.75669,0.01593
5231,12.0,D,5231,0.51559,0.04071
6234,32.0,E,6234,1.41675,0.03082
1900,24.0,A,1900,0.53975,0.00219
5727,36.0,E,5727,0.58786,0.02357
5398,24.0,D,5398,0.64747,0.00689
8553,20.0,E,8553,0.48951,0.02077
5011,12.0,B,5011,0.75314,0.03002
4100,36.0,D,4100,0.96906,0.00666
2090,16.0,A,2090,1.68069,0.01409
9286,24.0,A,9286,1.27875,0.00195
78,24.0,E,78,0.64787,0.02721
8546,16.0,D,8546,0.24493,0.01615
4673,24.0,A,4673,1.1839,0.00214
387,40.0,D,387,0.85388,0.00655
9268,28.0,E,9268,0.60912,0.0275
205,28.0,B,205,1.50182,0.00222
9696,36.0,B,9696,0.2902,0.00094
2297,20.0,C,2297,1.23724,0.0095
