,snr,ch,packet,nn_loss,bl_loss
9475,36.0,A,9475,0.02334,0.0002
324,20.0,E,324,0.01276,0.09593
523,20.0,F,523,0.00922,0.0499
7062,28.0,A,7062,0.10783,0.0009
7200,32.0,F,7200,0.01422,0.04249
1003,40.0,C,1003,0.01342,0.00197
5663,16.0,E,5663,0.03622,0.02798
7015,20.0,E,7015,0.01028,0.02222
2728,32.0,D,2728,0.00032,0.01246
9290,24.0,B,9290,0.0568,0.00271
9087,16.0,C,9087,0.51573,0.01019
4197,28.0,F,4197,0.02885,0.04177
409,36.0,D,409,0.00212,0.00097
9830,36.0,D,9830,0.00636,0.00591
7457,20.0,A,7457,1.30048,1.4728
9141,36.0,C,9141,0.00829,0.00189
4116,16.0,D,4116,0.04797,0.02912
8988,16.0,B,8988,0.26139,0.01155
3616,12.0,C,3616,0.0052,0.04593
9476,32.0,B,9476,0.01232,0.00036
2245,36.0,E,2245,0.06153,0.00699
4373,16.0,A,4373,0.05182,0.01049
3801,16.0,F,3801,0.01932,0.04769
8590,20.0,D,8590,0.00074,0.0095
2932,24.0,A,2932,0.0273,0.00239
8906,24.0,E,8906,0.01261,0.00811
3216,24.0,C,3216,0.02082,0.00237
5109,28.0,F,5109,0.00523,0.05756
7137,20.0,B,7137,0.01566,0.00749
7354,28.0,D,7354,0.00864,0.00117
4533,28.0,F,4533,0.00249,0.02269
6224,12.0,C,6224,0.02723,0.04475
362,16.0,F,362,0.02042,0.03702
4133,12.0,B,4133,0.01748,0.02381
131,28.0,D,131,0.00554,0.00462
4352,28.0,D,4352,0.00467,0.00984
9197,32.0,D,9197,0.00055,0.00313
2290,36.0,C,2290,0.0048,0.00275
6069,28.0,F,6069,0.01391,0.02718
6987,32.0,B,6987,0.00902,0.00129
6435,20.0,F,6435,0.00971,0.00858
456,28.0,B,456,0.01189,0.00051
8656,24.0,C,8656,0.14867,0.00294
8778,40.0,F,8778,0.00835,0.01453
4342,40.0,B,4342,0.0075,0.00017
2060,28.0,E,2060,0.03367,0.02713
3283,20.0,F,3283,0.00214,0.04814
4074,20.0,D,4074,0.01133,0.01227
4858,12.0,D,4858,0.00217,0.03452
4871,24.0,B,4871,0.01556,0.00108
7562,20.0,A,7562,0.0403,0.00376
2937,16.0,D,2937,0.07355,0.01919
7119,16.0,D,7119,0.00263,0.02014
747,32.0,B,747,0.0223,0.00231
2319,40.0,C,2319,0.00643,0.00041
6316,40.0,B,6316,0.00315,0.00112
157,40.0,C,157,0.00132,0.0003
3100,16.0,C,3100,0.00854,0.01446
5815,16.0,D,5815,0.06056,0.02555
4930,24.0,B,4930,0.00501,0.00236
1243,28.0,E,1243,0.02255,0.08388
4816,28.0,C,4816,0.00821,0.01071
