,snr,ch,packet,nn_loss,bl_loss
9356,36.0,B,9356,0.4959,0.12982
4307,36.0,E,4307,2.60251,0.99075
4069,24.0,B,4069,1.07064,0.40271
1357,12.0,A,1357,0.9819,0.03496
1255,12.0,E,1255,0.4745,0.20958
817,16.0,C,817,4.34759,1.19427
8576,32.0,F,8576,2.20693,0.32521
205,28.0,B,205,2.62779,0.32968
8478,32.0,A,8478,0.34945,0.00034
2523,16.0,E,2523,1.45924,0.27172
843,16.0,A,843,0.58879,0.01417
3982,36.0,A,3982,1.48374,0.00014
7711,20.0,D,7711,1.96343,0.06447
6455,36.0,C,6455,2.78351,0.21351
5775,36.0,D,5775,0.73611,0.27395
5854,28.0,C,5854,1.79322,0.54891
9914,36.0,D,9914,5.10252,0.41858
6542,28.0,F,6542,0.49932,0.25807
2206,12.0,A,2206,0.13067,0.03034
7569,20.0,F,7569,1.70234,0.89011
5231,12.0,D,5231,0.41167,0.14518
9245,40.0,C,9245,0.99373,0.82128
5129,24.0,B,5129,0.12864,0.1221
8546,16.0,D,8546,0.33006,0.22742
6577,20.0,D,6577,0.23985,0.09938
4317,36.0,C,4317,1.42848,0.25174
944,36.0,D,944,1.30442,0.1848
5520,24.0,A,5520,0.68288,0.00206
4525,24.0,D,4525,1.49379,0.33063
1737,40.0,B,1737,1.05388,0.17611
9022,20.0,D,9022,1.44615,0.12314
9368,16.0,F,9368,1.57383,0.40396
4788,28.0,D,4788,0.28198,0.12195
2747,40.0,C,2747,0.93197,0.30466
4505,12.0,C,4505,0.43865,0.27425
2445,16.0,F,2445,1.48113,0.32649
8553,20.0,E,8553,1.39896,0.26189
6615,36.0,A,6615,0.71498,0.00015
387,40.0,D,387,1.00735,0.85243
1238,20.0,B,1238,0.73723,0.42856
9696,36.0,B,9696,0.45687,0.3013
1157,28.0,E,1157,0.68419,0.06912
761,40.0,D,761,2.07013,0.12024
3137,16.0,C,3137,2.45353,0.59744
2450,16.0,F,2450,0.92847,0.53644
7246,12.0,B,7246,0.57037,0.03841
781,28.0,F,781,0.45368,0.18784
2929,40.0,D,2929,0.59776,0.05852
5636,12.0,C,5636,1.50449,0.28946
9411,16.0,C,9411,0.20962,0.0938
3491,36.0,D,3491,1.6275,0.61531
9268,28.0,E,9268,0.67187,0.49867
2910,16.0,F,2910,0.50812,0.14308
7008,36.0,F,7008,1.44714,0.27066
1900,24.0,A,1900,2.11476,0.00219
9397,24.0,E,9397,2.39675,0.20458
63,28.0,D,63,0.50495,0.08095
9877,32.0,D,9877,0.74434,0.03376
3478,24.0,E,3478,0.70809,0.378
5996,24.0,C,5996,1.57771,0.16449
4428,40.0,A,4428,0.23938,6e-05
2391,40.0,B,2391,0.78419,0.6137
4638,16.0,C,4638,0.71494,0.17798
4149,28.0,A,4149,1.22525,0.00072
3710,12.0,F,3710,0.90444,0.55339
4673,24.0,A,4673,0.19332,0.00214
9829,36.0,F,9829,0.50507,0.28612
1879,16.0,B,1879,0.64212,0.52883
187,28.0,A,187,2.23712,0.00091
9683,20.0,D,9683,0.6732,0.25105
5409,24.0,A,5409,0.63641,0.00242
3316,28.0,B,3316,0.45889,0.01556
3876,16.0,E,3876,0.68313,0.19202
3005,40.0,C,3005,1.57746,0.21715
2972,28.0,B,2972,0.11325,0.03082
747,28.0,F,747,2.6189,0.28317
3221,12.0,E,3221,1.52255,0.42281
3416,32.0,E,3416,0.94856,0.17584
4946,20.0,E,4946,0.72354,0.20559
4607,20.0,F,4607,2.2001,0.37763
5577,28.0,A,5577,0.14372,0.00093
4417,36.0,C,4417,0.42629,0.0605
78,24.0,E,78,1.26933,0.3071
9000,28.0,F,9000,0.74779,0.30571
1021,28.0,B,1021,1.42622,0.25861
4612,40.0,A,4612,0.87492,6e-05
7418,36.0,F,7418,0.85679,0.45429
2267,12.0,F,2267,0.81329,0.46425
2705,20.0,F,2705,1.49558,0.42982
1602,24.0,B,1602,0.08962,0.0256
397,40.0,B,397,0.19615,0.04313
4100,36.0,D,4100,0.9567,0.05374
4463,28.0,B,4463,0.75517,0.13865
9302,36.0,B,9302,0.25744,0.16262
8358,40.0,B,8358,0.34137,0.00642
2713,24.0,C,2713,1.19703,0.3513
8231,36.0,A,8231,0.98186,0.00014
8792,20.0,A,8792,0.06911,0.00518
6530,24.0,B,6530,0.61392,0.57142
3265,12.0,F,3265,0.79121,0.59614
8755,36.0,B,8755,1.59299,0.53068
9978,16.0,A,9978,1.01459,0.01193
5011,12.0,B,5011,1.35843,0.50311
4542,40.0,C,4542,0.36956,0.14941
6082,12.0,F,6082,3.57942,1.74906
3025,32.0,B,3025,2.74435,0.16495
2018,28.0,F,2018,0.91866,0.37149
6465,28.0,A,6465,0.61302,0.00087
236,28.0,B,236,0.20171,0.06539
2376,12.0,A,2376,2.91796,0.02864
2090,16.0,A,2090,0.71353,0.01409
2014,28.0,D,2014,0.44291,0.32393
3558,40.0,D,3558,0.5575,0.23513
5589,12.0,D,5589,2.33076,0.84385
6842,36.0,A,6842,0.05102,0.00013
