,snr,ch,packet,nn_loss,bl_loss
8755,36.0,B,8755,0.58489,0.00179
3558,40.0,D,3558,0.2527,0.00235
9399,36.0,F,9399,0.3763,0.02914
2832,16.0,D,2832,0.87751,0.02144
1729,32.0,B,1729,0.12215,0.00106
95,40.0,D,95,0.44424,0.00507
2621,12.0,C,2621,0.27662,0.03714
5398,24.0,D,5398,0.61054,0.00689
2747,40.0,C,2747,0.41726,0.00268
5409,24.0,A,5409,0.71051,0.00242
5345,40.0,B,5345,0.3376,0.00099
63,28.0,D,63,0.25209,0.00432
9356,36.0,B,9356,0.6183,0.00081
9914,36.0,D,9914,1.44992,0.00596
8576,32.0,F,8576,0.70523,0.0315
2267,12.0,F,2267,0.47567,0.07427
8231,36.0,A,8231,0.27593,0.00014
7947,36.0,E,7947,0.61658,0.02142
6665,40.0,D,6665,1.72793,0.00794
7356,32.0,A,7356,0.02844,0.00034
8243,28.0,A,8243,0.60516,0.00077
2910,16.0,F,2910,0.30168,0.04954
9683,20.0,D,9683,0.54124,0.01414
6542,28.0,F,6542,0.36849,0.02374
5996,24.0,C,5996,0.49646,0.00407
4099,24.0,C,4099,0.61875,0.00577
4816,28.0,C,4816,1.34372,0.01045
623,36.0,B,623,0.74693,0.00468
273,12.0,D,273,0.92022,0.04164
4463,28.0,B,4463,0.2896,0.0025
9304,36.0,C,9304,0.4859,0.00365
187,28.0,A,187,0.84331,0.00091
1357,12.0,A,1357,0.39542,0.03496
6721,28.0,B,6721,0.52485,0.00216
1435,24.0,F,1435,0.22434,0.02206
2713,24.0,C,2713,0.41262,0.00474
611,20.0,D,611,0.275,0.00933
5557,16.0,E,5557,0.59113,0.0208
9435,32.0,B,9435,0.71699,0.00203
2461,24.0,B,2461,0.89737,0.0048
2245,24.0,C,2245,0.36523,0.00423
5361,28.0,A,5361,0.6215,0.00074
3397,12.0,C,3397,0.70945,0.04341
4116,16.0,D,4116,1.99424,0.02525
5264,16.0,E,5264,0.36862,0.02358
8553,20.0,E,8553,0.45586,0.02077
